评级,代码,转债名称,现价,溢价率,转股价值,转股价
A+,128143,锋龙转债,89,17.43%,75.79,17.97
AA,128142,新乳转债,119.486,26.24%,94.65,18.69
AA,128141,旺能转债,102.151,7.57%,94.96,16.47
AA,128140,润建转债,90.701,11.44%,81.39,26.55
AA-,128139,祥鑫转债,91.9,15.74%,79.4,37.28
AA-,128138,侨银转债,100.82,23.86%,81.4,25.43
AA-,128137,洁美转债,113.56,21.99%,93.09,27.77
AA+,128136,立讯转债,118.8,40.20%,84.74,58.44
AA,128135,洽洽转债,131.85,17.09%,112.61,60.83
AA,128134,鸿路转债,124.98,11.43%,112.16,43.74
AA,128133,奇正转债,103.012,34.43%,76.63,30.12
AA,128132,交建转债,89,77.52%,50.13,18.57
AA,128131,崇达转2,94.7,58.97%,59.57,19.54
AA,128130,景兴转债,105.2,2.78%,102.35,3.4
AAA,128129,青农转债,101,25.76%,80.31,5.74
AA,128128,齐翔转2,92.6,3.14%,89.78,8.22
AA-,128127,文科转债,85.36,12.35%,75.98,5.37
AA,128126,赣锋转2,186.998,0.66%,185.76,60.27
AA-,128125,华阳转债,97.3,37.88%,70.57,25.79
AA,128124,科华转债,95,34.35%,70.71,21.51
AA-,128123,国光转债,99.5,39.24%,71.46,13.7
AA,128122,兴森转债,96.6,72.73%,55.92,14.18
AA-,128121,宏川转债,113.89,22.09%,93.28,20.25
A,128120,联诚转债,89.167,28.96%,69.14,24.37
AA,128119,龙大转债,124.91,-0.38%,125.39,9.57
AA-,128118,瀛通转债,85.95,44.99%,59.28,27.53
AA-,128117,道恩转债,92.5,21.18%,76.33,29.03
AA,128116,瑞达转债,91.334,32.21%,69.08,29.82
AA,128115,巨星转债 !,292.998,-0.06%,293.16,12.28
AA+,128114,正邦转债,109.189,7.19%,101.86,15.55
AA,128113,比音转债,113.989,4.33%,109.26,14.9
AA+,128112,歌尔转2 !,136,-0.82%,137.13,23.27
AA-,128111,中矿转债 !,176,0.28%,175.5,15.47
AA,128110,永兴转债 !,248,-1.26%,251.17,17.06
AA,128109,楚江转债,102.454,24.40%,82.36,8.73
AA,128108,蓝帆转债 !,132,-0.41%,132.55,17.79
AA+,128107,交科转债,101.5,7.31%,94.59,5.36
AA,128106,华统转债,114.2,23.40%,92.55,9.39
AA,128105,长集转债,89.7,12.09%,80.02,8.11
A+,128103,同德转债 !,183,-4.15%,190.93,5.18
AA,128101,联创转债,100.6,42.71%,70.49,13.86
AA,128100,搜特转债,75.3,35.63%,55.52,2.90*
AA,128097,奥佳转债 !,131.3,5.93%,123.95,10.69
AA+,128096,奥瑞转债 !,118.339,11.70%,105.95,4.54
AA,128095,恩捷转债 !,203.988,0.75%,202.47,65.09
A+,128094,星帅转债,107.299,-0.34%,107.67,13.95
AA-,128093,百川转债,97.5,4.44%,93.36,5.87
A+,128091,新天转债,108.01,16.77%,92.5,16.39
AA,128090,汽模转2,99.89,8.39%,92.16,4.21
AA,128087,孚日转债,80.8,29.20%,62.54,6.3
BB,128085,鸿达转债,80.8,0.23%,80.61,3.92
AA,128083,新北转债,98.79,16.87%,84.53,11.7
A+,128082,华锋转债,88.36,27.90%,69.09,11.71*
AA,128081,海亮转债,90.212,8.70%,82.99,9.76
A+,128079,英联转债,107.151,5.65%,101.42,13.41
AA,128078,太极转债,104.98,12.78%,93.08,22.4
AA-,128076,金轮转债,85.5,40.06%,61.04,14.76
AA,128075,远东转债 !,107.84,1.26%,106.5,5.54
AA,128074,游族转债,90.751,50.84%,60.16,16.97
AA-,128073,哈尔转债,92,46.07%,62.98,5.7
AA-,128072,翔鹭转债,89.273,70.33%,52.41,15.34
AA,128071,合兴转债,99.01,10.07%,89.95,4.28
A+,128070,智能转债,93,43.58%,64.77,9.51
AA-,128069,华森转债,89.79,51.53%,59.26,18.04
AA-,128066,亚泰转债,86.8,17.72%,73.73,9.67*
AA,128065,雅化转债 !,214.353,0.07%,214.21,9.43
AA,128064,司尔转债,98.9,10.56%,89.46,6.07
AA-,128063,未来转债,92.65,45.64%,63.62,8.63
A-,128062,亚药转债,67.796,221.19%,21.11,16.25
AA-,128057,博彦转债,105.5,8.23%,97.48,8.72
A+,128056,今飞转债,96.5,33.86%,72.09,6.7
AA,128053,尚荣转债,118.85,12.41%,105.73,4.89
AA,128052,凯龙转债 !,180,15.89%,155.32,6.67
AA-,128051,光华转债,99.105,4.27%,95.05,12.72*
AA-,128050,钧达转债,128.88,3.68%,124.31,14.85*
AA-,128049,华源转债,91.609,20.52%,76.01,7.42
AA+,128048,张行转债,108.813,9.96%,98.96,5.76
AA,128046,利尔转债,147.1,1.82%,144.47,18.62
AA,128044,岭南转债,83.225,71.98%,48.39,5.91*
AA,128042,凯中转债,92.5,29.32%,71.53,12.96
AA,128041,盛路转债,256.5,230.69%,77.57,6.82
AA-,128040,华通转债,105.228,1.97%,103.19,10.33
AA-,128039,三力转债,97.715,7.93%,90.53,5.81*
AA,128037,岩土转债,89.4,183.45%,31.54,7.99
AA-,128036,金农转债,124.5,21.70%,102.3,6.96
AA+,128035,大族转债,109.285,34.99%,80.96,52.1
AA+,128034,江银转债,103.49,12.76%,91.78,4.50**
AA,128033,迪龙转债,92.7,70.89%,54.25,8.83*
AA,128032,双环转债,107.181,18.04%,90.8,9.89
AA,128030,天康转债 !,266.5,85.63%,143.57,7.85
AA+,128029,太阳转债 !,223,4.47%,213.45,8.55
AA,128028,赣锋转债 !,268,-0.23%,268.62,41.68
AA-,128026,众兴转债,90.3,31.38%,68.73,11.45
AA-,128025,特一转债,91.8,35.90%,67.55,14.70*
AA,128023,亚太转债,92.3,89.36%,48.74,10.34
AA-,128022,众信转债,90.709,39.77%,64.9,7.92*
AA,128021,兄弟转债,102.8,9.78%,93.64,5.19*
AA,128018,时达转债,99.3,41.42%,70.22,7.42*
AA,128017,金禾转债 !,211.1,4.76%,201.52,22.42
A+,128015,久其转债,93.84,118.58%,42.93,9.48*
AA-,128014,永东转债,98.72,70.16%,58.02,12.6
AA-,128013,洪涛转债,95.743,38.69%,69.03,3.10**
AA,128010,蔚蓝转债 !,116.1,-1.29%,117.62,9.25
AA+,127028,英特转债,100,52.53%,65.56,19.89
AA+,127027,靖远转债,85.55,13.95%,75.08,3.33
AA,127026,超声转债,90.5,26.82%,71.36,12.85
AAA,127025,冀东转债,106.71,19.93%,88.97,15.78
AA+,127024,盈峰转债,113,19.93%,94.22,8.31
AAA,127023,华菱转2,101.014,10.39%,91.51,5.18
AA+,127022,恒逸转债,136.196,8.24%,125.83,11.5
AA,127021,特发转2,92.1,64.82%,55.88,12.33
AA+,127020,中金转债,105.514,23.32%,85.56,4.71
AA,127019,国城转债,76,94.81%,39.01,21.07
AAA,127018,本钢转债,73.801,32.11%,55.86,5.03
AA+,127017,万青转债,106.009,30.76%,81.07,14.16
AA+,127016,鲁泰转债,93.6,32.38%,70.71,8.91
AAA,127015,希望转债,123.699,4.05%,118.89,19.75
AA+,127014,北方转债,96.5,32.55%,72.8,8.75
AA,127013,创维转债,92.1,55.41%,59.26,11.39
AAA,127012,招路转债,101.189,37.79%,73.44,8.81
AA+,127011,中鼎转2,106.7,28.02%,83.35,11.59
AA,127008,特发转债 !,137.55,10.60%,124.37,5.54
AA+,127007,湖广转债,95.392,48.68%,64.16,5.58*
AA+,127006,敖东转债,98.599,33.78%,73.7,20.42
AAA,127005,长证转债,113,17.02%,96.57,7.28
AA,127004,模塑转债,161.8,151.99%,64.21,7.46
AA,127003,海印转债,100.15,50.98%,66.33,3.00**
AA-,123100,朗科转债,100,17.37%,85.2,15.34
AA-,123099,普利转债,100,2.37%,97.68,46.22
AA-,123098,一品转债,100,3.43%,96.68,45.78
A+,123097,美力转债,100,15.45%,86.62,9.34
AA-,123096,思创转债,100,17.81%,84.89,8.27
AA,123094,星源转2,100,30.12%,76.85,31.54
A+,123093,金陵转债,100,15.43%,86.63,49.29
A+,123092,天壕转债,95.275,22.63%,77.69,5.2
AA,123091,长海转债,140.55,20.13%,117,16.24
AA,123090,三诺转债,131,19.72%,109.42,35.35
AA-,123089,九洲转2,88.2,20.62%,73.12,8
A+,123088,威唐转债,84.9,35.31%,62.75,20.75
AA-,123087,明电转债,94.45,57.29%,60.05,24.23
AA-,123086,海兰转债,100,49.07%,67.08,15.16
AA-,123085,万顺转2,89.699,36.85%,65.54,6.24
A+,123084,高澜转债,91.641,21.62%,75.35,11.36
AA,123083,朗新转债,99.1,22.36%,80.99,15.57
A+,123082,北陆转债,99.11,41.18%,70.2,11.41*
AA-,123081,精研转债,95,46.97%,64.64,64.28
A+,123080,海波转债,90.604,12.50%,80.54,20.91
AA,123079,运达转债,111.488,4.40%,106.79,15.31
AA,123078,飞凯转债,95.52,30.93%,72.96,19.34
AA,123077,汉得转债,86.059,30.70%,65.84,9.72
AA-,123076,强力转债,85.554,52.47%,56.11,18.98
AA-,123075,贝斯转债,88.3,24.75%,70.78,23.99
AA-,123074,隆利转债,114.4,0.13%,114.25,29.41
A+,123073,同和转债,99.698,11.03%,89.79,23.80*
A+,123072,乐歌转债,113.001,141.21%,46.85,73.13
AA-,123071,天能转债,91.244,46.94%,62.09,20.05
AA,123070,鹏辉转债,106.39,12.00%,94.99,20.16
AA-,123069,金诺转债,94.507,9.16%,86.58,19.15
AA-,123068,弘信转债,94,16.95%,80.38,18.45
AA-,123067,斯莱转债,99.595,10.04%,90.51,9.38
A+,123066,赛意转债,119.253,4.09%,114.57,22.58
AA-,123065,宝莱转债,93.8,70.68%,54.96,40.54
AA,123064,万孚转债,116.601,22.85%,94.91,93.57
AA-,123063,大禹转债,98,8.30%,90.49,4.94
A,123062,三超转债,102.4,3.24%,99.18,17.17
AA-,123061,航新转债,98.2,23.46%,79.54,14.86
AA-,123060,苏试转债,112,17.67%,95.18,23.86
AA-,123059,银信转债,90.911,22.91%,73.97,9.91
AA,123058,欣旺转债,135.9,10.93%,122.5,21.24
AA-,123057,美联转债,91.2,24.66%,73.16,9.91
AA-,123056,雪榕转债,94,19.54%,78.64,11.89
AA-,123055,晨光转债 !,126.23,-0.37%,126.69,12.25
AA-,123054,思特转债,85.999,38.49%,62.1,16.49
AA-,123053,宝通转债,94.995,30.68%,72.69,20.8
A+,123052,飞鹿转债,100.921,9.67%,92.02,9.9
A+,123051,今天转债,99.3,6.31%,93.41,8.8
AA-,123050,聚飞转债,108.94,18.80%,91.7,5.18
AA-,123049,维尔转债,95.334,10.39%,86.36,7.48
AA+,123048,应急转债 !,98.51,14.31%,86.18,8.9
A+,123047,久吾转债,100.177,19.44%,83.87,17.61
AA-,123046,天铁转债 !,133,6.91%,124.41,10.12
A+,123045,雷迪转债,95.2,24.52%,76.45,20.13
AA-,123044,红相转债 !,91,18.31%,76.91,18.8
A+,123043,正元转债,109.1,17.98%,92.47,15.41
A+,123042,银河转债,117.21,67.34%,70.04,24.4
A+,123039,开润转债,98.888,50.48%,65.71,32.87
A+,123038,联得转债 !,101.253,20.90%,83.75,25.29
AA+,123035,利德转债,104.9,19.64%,87.68,6.98
A+,123034,通光转债 !,162.884,61.47%,100.88,7.97
AA-,123033,金力转债,104.95,34.60%,77.97,40.68
A+,123031,晶瑞转债 !,202,42.37%,141.89,18.43
AA-,123030,九洲转债 !,129.487,25.06%,103.54,5.65
AA-,123028,清水转债,81.2,42.85%,56.84,11.84
A+,123027,蓝晓转债 !,141.388,6.58%,132.66,29.33
AA-,123025,精测转债 !,120.297,16.00%,103.7,49.95
A+,123024,岱勒转债,95.421,14.77%,83.14,18.33*
AA,123023,迪森转债,85.83,44.90%,59.23,7.04
AA,123022,长信转债 !,122.3,0.82%,121.3,6.15
AA-,123018,溢利转债 !,181.1,60.29%,112.98,8.32
AA-,123017,寒锐转债 !,158.8,-0.90%,160.24,57.4
AA-,123015,蓝盾转债,240,223.92%,74.09,5.79*
A+,123014,凯发转债,114,52.50%,74.75,8.12
A+,123013,横河转债,388,476.94%,67.25,9.13
AA-,123012,万顺转债 !,106.193,37.87%,77.02,5.31
AA-,123011,德尔转债,89.62,88.17%,47.63,34.54
AA-,123010,博世转债,91.67,30.19%,70.41,12.20*
AA-,123007,道氏转债,103.22,2.60%,100.6,14.95*
AA,123004,铁汉转债,93,31.26%,70.85,3.98*
AA,123002,国祯转债,100,14.13%,87.62,8.48*
AA,113621,彤程转债,100,1.42%,98.6,32.96
AA,113619,世运转债,100,35.69%,73.7,26.5
AA-,113618,美诺转债,100.69,25.80%,80.04,37.47
AA+,113616,韦尔转债,151.02,18.04%,127.95,222.83
AA,113615,金诚转债,106.9,9.39%,97.72,12.73
AA,113614,健20转债,109.93,32.71%,82.83,38.04
AA-,113612,永冠转债,99.83,6.98%,93.31,20.79
AA,113611,福20转债,148.49,6.37%,139.6,73.69
AA-,113610,灵康转债,92.62,9.38%,84.68,8.81
AA-,113609,永安转债,84.26,21.64%,69.27,20.34
A+,113608,威派转债,93.34,27.73%,73.08,19.24
AA,113607,伟20转债,107.62,27.01%,84.73,22.01
AA-,113606,荣泰转债,98.01,19.27%,82.17,33.32
AA,113605,大参转债,130.33,15.13%,113.2,83.85
AA-,113604,多伦转债,85.96,30.82%,65.71,10.44
AA,113603,东缆转债,117.01,20.65%,96.98,23.88
AA,113602,景20转债,103.09,37.77%,74.83,35.28
AA-,113601,塞力转债,89.99,7.99%,83.33,16.98
AA-,113600,新星转债,83.88,26.38%,66.37,23.85
AA-,113599,嘉友转债,94.48,12.69%,83.84,24.82
AA-,113598,法兰转债,116.32,1.10%,115.06,13.88
AA-,113597,佳力转债,90.73,77.96%,50.98,23.4
AA-,113596,城地转债,79.49,67.89%,47.35,29.21
AA-,113595,花王转债,84.42,22.14%,69.12,6.93
A+,113594,淳中转债,96,36.94%,70.1,39.37
A+,113593,沪工转债,99.26,9.59%,90.57,21.32
AA,113592,安20转债 !,235.99,-0.21%,236.5,115.9
AA-,113591,胜达转债,93.14,16.40%,80.02,10.46*
AA-,113590,海容转债 !,167.34,-0.64%,168.43,36.39
AA,113589,天创转债,78.67,93.03%,40.76,12.44
AA,113588,润达转债,99.98,22.43%,81.66,13.36
AA-,113587,泛微转债 !,145.97,-0.82%,147.18,64.33
AA-,113585,寿仙转债,133.13,-1.03%,134.52,28.68
AA,113584,家悦转债,94.08,80.96%,51.99,37.97
AA,113583,益丰转债 !,138.28,0.20%,138,71.82
AA,113582,火炬转债 !,249.16,5.19%,236.87,25.33
AA-,113580,康隆转债 !,212.3,145.00%,86.65,15.51
AA,113579,健友转债,97.13,29.62%,74.93,42.05
AA,113578,全筑转债,89.49,18.81%,75.32,5.43
AA-,113577,春秋转债,119.32,-0.85%,120.34,11.06
AA-,113576,起步转债 !,89.65,41.38%,63.41,10.55
AA,113575,东时转债 !,127.77,67.00%,76.51,14.56
A+,113574,华体转债,93.81,85.17%,50.66,33.99
A+,113573,纵横转债,93.53,77.17%,52.79,18.81
A+,113572,三祥转债,107.15,2.11%,104.93,14.19
A+,113570,百达转债,89.58,24.10%,72.18,11.54
AA-,113569,科达转债,79.67,83.59%,43.4,14.84
AA-,113568,新春转债,89,18.71%,74.97,8.91
A+,113567,君禾转债,91.6,14.73%,79.84,11.46
A+,113566,翔港转债,91.91,37.48%,66.85,10.77
AA-,113565,宏辉转债,97.7,11.40%,87.7,10
AA-,113564,天目转债,109.66,3.18%,106.28,23.1
AA,113563,柳药转债,100,20.60%,82.92,24.47
A+,113561,正裕转债,93.89,34.52%,69.79,10.23
AA-,113559,永创转债,105.09,8.78%,96.61,10.32
AA-,113557,森特转债,91.45,13.03%,80.91,10.11
AA-,113550,常汽转债 !,109.57,1.18%,108.29,9.65
AA,113549,白电转债,90.42,7.20%,84.35,8.88
AA-,113548,石英转债 !,126.41,11.23%,113.64,15.1
A+,113546,迪贝转债,89.63,40.11%,63.97,14.1
AA,113545,金能转债 !,190.64,1.24%,188.31,10.78
AA,113543,欧派转债 !,231.52,1.84%,227.33,71.69
AA,113542,好客转债,111,5.55%,105.16,16.27
AA-,113541,荣晟转债,103.01,-0.11%,103.12,11.54*
AA-,113537,文灿转债 !,117.97,0.53%,117.34,19.43
AA,113536,三星转债,100.91,8.46%,93.04,19.54
AA,113535,大业转债,88.6,51.54%,58.47,12.4
AA,113534,鼎胜转债,84.97,18.12%,71.94,15.18*
AA,113532,海环转债,93.1,40.66%,66.19,7.69
AA,113530,大丰转债,89.37,36.94%,65.26,16.64
AA-,113528,长城转债,90.22,33.06%,67.8,23.45
AA,113527,维格转债,76.71,79.48%,42.74,9.85*
AA+,113526,联泰转债 !,117.15,2.99%,113.75,6.11
AA,113525,台华转债,95.5,49.25%,63.98,7.83
AA,113524,奇精转债,92.1,18.32%,77.84,14.08
AA,113519,长久转债,86.38,47.95%,58.39,11.15
AA+,113516,苏农转债,103.5,19.02%,86.96,5.52
AA,113509,新泉转债 !,212.49,-1.31%,215.31,15.55*
AA,113508,新凤转债,128.11,0.33%,127.69,15.78
AA,113505,杭电转债,93.99,14.91%,81.79,7.14
AA,113504,艾华转债 !,118.14,3.75%,113.87,21.13*
AA-,113502,嘉澳转债,94.17,170.72%,34.78,44.79
AAA,113044,大秦转债,99.54,18.95%,83.68,7.66
AAA,113043,财通转债,104.98,36.53%,76.89,13.33
AAA,113042,上银转债,100,27.51%,78.42,11.03
AAA,113041,紫金转债,162.42,16.01%,140,7
AA+,113040,星宇转债,144.92,10.38%,131.29,158
AA,113039,嘉泽转债,91.52,6.77%,85.71,3.57
AAA,113038,隆20转债,213.43,-2.07%,217.95,52.59
AA+,113037,紫银转债,101.19,23.24%,82.11,4.75
AA,113036,宁建转债,90.05,24.68%,72.22,4.86
AA,113034,滨化转债,106.56,8.18%,98.5,4.68
AA,113033,利群转债,96.53,4.10%,92.72,7.01
AA,113030,东风转债,96.81,11.90%,86.52,6.75
AA,113029,明阳转债 !,152.39,-0.12%,152.58,12.8
AA-,113027,华钰转债 !,94.07,26.55%,74.34,10.17
AAA,113026,核能转债,101.7,26.80%,80.2,5.86
AA,113025,明泰转债,131.34,-0.67%,132.23,11.2
AAA,113024,核建转债,100.2,47.50%,67.93,9.76
AAA,113021,中信转债,105.15,36.17%,77.22,6.98
AA+,113017,吉视转债,89.29,61.60%,55.25,2.95
AA,113016,小康转债,98.99,16.68%,84.84,15.70*
AA,113014,林洋转债,91.22,36.43%,66.86,8.54
AAA,113013,国君转债,110.28,29.57%,85.11,19.01
AA,113012,骆驼转债,111.29,15.18%,96.62,10.06*
AAA,113011,光大转债,122.53,5.67%,115.96,3.76
AAA,113009,广汽转债,105.9,44.07%,73.51,14.23
AA+,110077,洪城转债,101.84,24.12%,82.05,7.13
AA,110076,华海转债,111.8,46.17%,76.49,34.66
AAA,110075,南航转债,120.49,26.36%,95.35,6.24
AA,110074,精达转债,86.84,20.61%,72,3.75
AAA,110073,国投转债,105.16,32.87%,79.15,15.25
AA+,110072,广汇转债,70.86,19.48%,59.31,4.03
AA,110071,湖盐转债,94.11,27.28%,73.94,6.6
AA,110070,凌钢转债,91.43,15.34%,79.27,2.75
AA+,110069,瀚蓝转债,123.51,18.69%,104.06,20.2
AA+,110068,龙净转债,94.39,25.19%,75.4,10.73
AAA,110067,华安转债,103.35,40.89%,73.36,8.67
AA,110066,盛屯转债 !,138.16,-0.41%,138.73,4.88
AAA,110065,淮矿转债,109.39,4.89%,104.29,9.33
AA+,110064,建工转债,93.6,32.02%,70.9,4.57
AA+,110063,鹰19转债,101,10.36%,91.52,3.3
AAA,110062,烽火转债,100.11,42.03%,70.49,25.65
AAA,110061,川投转债,121.05,8.08%,112,9.58
AA,110060,天路转债 !,100.15,16.98%,85.61,7.16
AAA,110059,浦发转债,101.44,36.74%,74.19,14.45
AA,110058,永鼎转债,84.5,49.96%,56.35,5.04*
AAA,110057,现代转债,101.01,19.21%,84.73,9.89
AA+,110056,亨通转债,95.73,20.55%,79.41,15.01*
AA,110055,伊力转债 !,130.72,4.04%,125.64,16.81
AAA,110053,苏银转债,107.8,24.77%,86.4,6.69
AA+,110052,贵广转债,94.68,66.32%,56.93,7.94
AA+,110051,中天转债,105.59,13.70%,92.86,10.09
AA+,110048,福能转债,106.78,12.31%,95.07,8.12
AA+,110047,山鹰转债,101.65,12.42%,90.42,3.34
AA+,110045,海澜转债,97.4,73.93%,56,11.75
AA,110044,广电转债 !,179.84,134.57%,76.67,6.9
AA+,110043,无锡转债,126.65,-0.23%,126.94,5.79**
AAA,110041,蒙电转债,101.59,24.78%,81.41,2.69
AA,110038,济川转债,101.17,27.26%,79.5,23.85*
AA+,110034,九州转债,108.94,16.37%,93.61,18.32
AAA,110033,国贸转债,106.5,23.53%,86.21,7.18*
AAA,110031,航信转债,106.09,120.78%,48.05,21.56*
AA+,110052,贵广转债,94.68,66.32%,56.93,7.94
AA+,110051,中天转债,105.59,13.70%,92.86,10.09
AA+,110048,福能转债,106.78,12.31%,95.07,8.12
AA+,110047,山鹰转债,101.65,12.42%,90.42,3.34
AA+,110045,海澜转债,97.4,73.93%,56,11.75
AA,110044,广电转债 !,179.84,134.57%,76.67,6.9
AA+,110043,无锡转债,126.65,-0.23%,126.94,5.79**
AAA,110041,蒙电转债,101.59,24.78%,81.41,2.69
AA,110038,济川转债,101.17,27.26%,79.5,23.85*
AA+,110034,九州转债,108.94,16.37%,93.61,18.32
AAA,110033,国贸转债,106.5,23.53%,86.21,7.18*
AAA,110031,航信转债,106.09,120.78%,48.05,21.56*
,,,,,,
,,,,,,
